tau	theta0	theta1	ragvalue	pvalue	downtau(alpha=0.01)	uptau(alpha=0.01)	downtau(alpha=0.05)	uptau(alpha=0.05)	downtau(alpha=0.1)	uptau(alpha=0.1)	downtheta0(alpha=0.01)	uptheta0(alpha=0.01)	downtheta0(alpha=0.05)	uptheta0(alpha=0.05)	downtheta0(alpha=0.1)	uptheta0(alpha=0.1)	downtheta1(alpha=0.01)	uptheta1(alpha=0.01)	downtheta1(alpha=0.05)	uptheta1(alpha=0.05)	downtheta1(alpha=0.1)	uptheta1(alpha=0.1)
2.068	0.000	99999.000	0.12500000	0.06900000	1.572	2.725	1.709	2.504	1.783	2.428	0.000	0.487	0.000	0.209	0.000	0.053	7.428	99999.000	12.555	99999.000	16.852	99999.000
2.785	0.000	99999.000	0.38700000	0.14700000	2.002	3.393	2.283	3.250	2.348	3.145	0.000	0.663	0.000	0.304	0.000	0.105	15.328	99999.000	24.000	99999.000	31.422	99999.000
2.578	0.007	99999.000	0.08700000	0.11300000	1.650	3.271	2.059	3.082	2.207	2.990	0.000	0.707	0.000	0.390	0.000	0.165	10.758	99999.000	16.676	99999.000	21.578	99999.000
3.098	0.002	99999.000	0.22000000	0.03000000	2.236	3.844	2.562	3.582	2.686	3.488	0.000	0.733	0.000	0.452	0.000	0.200	16.891	99999.000	25.133	99999.000	31.227	99999.000
2.055	0.000	99999.000	0.20300000	0.32500000	1.523	2.689	1.660	2.500	1.762	2.424	0.000	0.554	0.000	0.216	0.000	0.086	8.023	99999.000	10.445	99999.000	15.367	99999.000
2.373	0.012	99999.000	0.43400000	0.81700000	1.484	3.018	1.867	2.830	2.020	2.748	0.000	0.740	0.000	0.373	0.000	0.149	11.969	99999.000	16.773	99999.000	20.914	99999.000
1.934	0.000	99999.000	0.13900000	0.16200000	1.418	2.600	1.498	2.377	1.621	2.289	0.000	0.575	0.000	0.202	0.000	0.067	6.979	99999.000	10.074	99999.000	14.254	99999.000
2.125	0.000	99999.000	0.21600000	0.20400000	1.621	2.748	1.719	2.523	1.816	2.465	0.000	0.513	0.000	0.299	0.000	0.097	7.447	99999.000	14.000	99999.000	18.736	99999.000
2.973	0.000	99999.000	0.13800000	0.11800000	2.283	3.652	2.473	3.463	2.590	3.348	0.000	0.724	0.000	0.343	0.000	0.091	16.363	99999.000	22.008	99999.000	28.805	99999.000
2.314	0.004	99999.000	0.00600000	0.01200000	1.510	2.979	1.777	2.781	1.943	2.695	0.000	0.624	0.000	0.411	0.000	0.153	8.844	99999.000	14.156	99999.000	21.383	99999.000
