Acceptancenum	Simnum	Time	T0	T1	TMRCA	Variance	epsilonV	Heterozygosis	epsilonH	Numberofconfig	epsilonC	SASHloc	SH	MASH	SASH	SHchanges	SHdist	HBC	Simnum	Alpha
79	189753	0.027470	0.009171	31.249210	0.035836	0.174124	0.018495	0.267816	-0.052826	27	0.068966	0.055293	0.609666	0.482476	0.245767	0.725490	0.234009	0.372093	189753	0.100000
80	191584	0.103756	0.006247	12.258033	0.110527	0.191156	-0.077511	0.261716	-0.028846	27	0.068966	0.034842	0.549616	0.451407	0.179020	0.674419	0.159161	0.181818	191584	0.100000
81	193647	0.063480	0.008129	19.183239	0.071849	0.171335	0.034216	0.273573	-0.075457	30	-0.034483	0.029824	0.613410	0.584415	0.069768	0.720000	0.103482	0.268293	193647	0.100000
82	194102	0.020095	0.001032	45.302792	0.021521	0.172744	0.026272	0.258018	-0.014306	29	0.000000	0.033486	0.317328	0.292650	0.034888	0.765625	0.164423	0.369565	194102	0.100000
83	194189	0.020654	0.008188	53.311367	0.028665	0.169978	0.041866	0.274557	-0.079327	28	0.034483	0.027938	0.640322	0.581530	0.140491	0.758621	0.115717	0.404255	194189	0.100000
84	196370	0.042141	0.001217	25.216187	0.044904	0.188345	-0.061665	0.265833	-0.045028	31	-0.068966	0.024859	0.327645	0.315415	0.017864	0.703704	0.121693	0.225000	196370	0.100000
85	198903	0.012824	0.004235	69.138016	0.018989	0.176160	0.007020	0.252320	0.008091	31	-0.068966	0.036520	0.675743	0.539038	0.296565	0.745763	0.169890	0.380000	198903	0.100000
86	199358	0.023968	0.007474	33.605331	0.040653	0.168054	0.052711	0.278972	-0.096681	30	-0.034483	0.068709	0.659884	0.578779	0.192547	0.725490	0.225819	0.250000	199358	0.100000
87	199420	0.042532	0.006110	26.489470	0.050970	0.166197	0.063178	0.278853	-0.096212	27	0.068966	0.047400	0.712735	0.639642	0.202835	0.666667	0.190193	0.289474	199420	0.100000
88	199739	0.014724	0.003051	48.848869	0.017182	0.164400	0.073308	0.248144	0.024507	29	0.000000	0.015833	0.370727	0.293039	0.109889	0.774194	0.082093	0.408163	199739	0.100000
