tau	theta0	theta1	pvalue	downtau(alpha=0.01)	uptau(alpha=0.01)	downtau(alpha=0.05)	uptau(alpha=0.05)	downtau(alpha=0.1)	uptau(alpha=0.1)	downtheta0(alpha=0.01)	uptheta0(alpha=0.01)	downtheta0(alpha=0.05)	uptheta0(alpha=0.05)	downtheta0(alpha=0.1)	uptheta0(alpha=0.1)	downtheta1(alpha=0.01)	uptheta1(alpha=0.01)	downtheta1(alpha=0.05)	uptheta1(alpha=0.05)	downtheta1(alpha=0.1)	uptheta1(alpha=0.1)	IS_tau	IS_theta0	IS_theta1	IS_pvalue	IS_downtau(alpha=0.01)	IS_uptau(alpha=0.01)	IS_downtau(alpha=0.05)	IS_uptau(alpha=0.05)	IS_downtau(alpha=0.1)	IS_uptau(alpha=0.1)	IS_downtheta0(alpha=0.01)	IS_uptheta0(alpha=0.01)	IS_downtheta0(alpha=0.05)	IS_uptheta0(alpha=0.05)	IS_downtheta0(alpha=0.1)	IS_uptheta0(alpha=0.1)	IS_downtheta1(alpha=0.01)	IS_uptheta1(alpha=0.01)	IS_downtheta1(alpha=0.05)	IS_uptheta1(alpha=0.05)	IS_downtheta1(alpha=0.1)	IS_uptheta1(alpha=0.1)	MSH	SH	MASH	P	SHchanges	DH	HBC
1.477	0.065	5.276	1.00000000	0.703	2.402	0.703	2.402	0.703	2.402	0.000	0.130	0.000	0.130	0.000	0.130	25.120	99999.000	25.120	99999.000	25.120	99999.000	1.461	0.257	5.308	1.00000000	0.340	3.244	0.340	3.244	0.340	3.244	0.000	0.007	0.000	0.007	0.000	0.007	2.719	99999.000	2.719	99999.000	2.719	99999.000	0.013661	0.296005	0.235363	0.079308	0.811594	0.093666	0.442308
1.150	0.007	99999.000	0.90000000	1.041	1.408	1.041	1.408	1.041	1.408	0.000	0.026	0.000	0.026	0.000	0.026	68.922	99999.000	68.922	99999.000	68.922	99999.000	1.424	0.000	8.821	1.00000000	0.441	1.906	0.441	1.906	0.441	1.906	0.000	0.893	0.000	0.893	0.000	0.893	3.972	99999.000	3.972	99999.000	3.972	99999.000	0.017998	0.302114	0.243520	0.077455	0.789474	0.143231	0.465116
1.426	0.000	99999.000	0.00000000	1.176	1.758	1.176	1.758	1.176	1.758	0.000	0.139	0.000	0.139	0.000	0.139	6.617	99999.000	6.617	99999.000	6.617	99999.000	1.662	0.000	99999.000	0.00000000	1.227	1.969	1.227	1.969	1.227	1.969	0.000	0.030	0.000	0.030	0.000	0.030	12.398	99999.000	12.398	99999.000	12.398	99999.000	0.020196	0.490751	0.334682	0.234578	0.769231	0.148381	0.610170
1.283	0.002	99999.000	0.30000000	1.066	1.447	1.066	1.447	1.066	1.447	0.000	0.025	0.000	0.025	0.000	0.025	25.094	99999.000	25.094	99999.000	25.094	99999.000	1.393	0.000	99999.000	0.50000000	1.143	1.727	1.143	1.727	1.143	1.727	0.000	0.011	0.000	0.011	0.000	0.011	16.441	99999.000	16.441	99999.000	16.441	99999.000	0.012518	0.326520	0.251229	0.100552	0.808219	0.088388	0.517241
1.260	0.000	99999.000	0.00000000	1.018	1.750	1.018	1.750	1.018	1.750	0.000	0.272	0.000	0.272	0.000	0.272	3.526	99999.000	3.526	99999.000	3.526	99999.000	1.400	0.000	99999.000	0.00000000	1.072	1.680	1.072	1.680	1.072	1.680	0.000	0.021	0.000	0.021	0.000	0.021	22.945	99999.000	22.945	99999.000	22.945	99999.000	0.018793	0.385838	0.287950	0.137473	0.779661	0.145841	0.588235
0.928	0.000	99999.000	0.10000000	0.625	1.123	0.625	1.123	0.625	1.123	0.000	0.014	0.000	0.014	0.000	0.014	17.262	99999.000	17.262	99999.000	17.262	99999.000	1.457	0.000	7.893	1.00000000	0.162	2.137	0.162	2.137	0.162	2.137	0.000	1.142	0.000	1.142	0.000	1.142	2.210	99999.000	2.210	99999.000	2.210	99999.000	0.010428	0.275777	0.214594	0.077900	0.722222	0.092075	0.444444
1.373	0.000	99999.000	0.00000000	1.285	1.840	1.285	1.840	1.285	1.840	0.000	0.098	0.000	0.098	0.000	0.098	32.008	99999.000	32.008	99999.000	32.008	99999.000	1.406	0.021	99999.000	0.00000000	1.229	1.578	1.229	1.578	1.229	1.578	0.000	0.009	0.000	0.009	0.000	0.009	22.203	99999.000	22.203	99999.000	22.203	99999.000	0.030238	0.371853	0.328823	0.064112	0.791045	0.191642	0.518519
1.312	0.002	25.052	1.00000000	0.855	2.266	0.855	2.266	0.855	2.266	0.000	0.714	0.000	0.714	0.000	0.714	3.993	99999.000	3.993	99999.000	3.993	99999.000	0.951	0.000	99999.000	0.00000000	0.695	1.039	0.695	1.039	0.695	1.039	0.000	0.039	0.000	0.039	0.000	0.039	10.348	99999.000	10.348	99999.000	10.348	99999.000	0.007738	0.269656	0.249238	0.027197	0.766667	0.056171	0.500000
1.256	0.000	99999.000	0.50000000	1.004	1.336	1.004	1.336	1.004	1.336	0.000	0.016	0.000	0.016	0.000	0.016	15.816	99999.000	15.816	99999.000	15.816	99999.000	1.361	0.000	58.306	0.70000000	0.180	1.762	0.180	1.762	0.180	1.762	0.000	0.332	0.000	0.332	0.000	0.332	2.658	99999.000	2.658	99999.000	2.658	99999.000	0.011100	0.337613	0.308733	0.041778	0.797101	0.103412	0.518519
1.438	0.000	99999.000	0.40000000	1.188	1.699	1.188	1.699	1.188	1.699	0.000	0.515	0.000	0.515	0.000	0.515	4.420	99999.000	4.420	99999.000	4.420	99999.000	1.580	0.000	35.025	0.50000000	0.965	1.994	0.965	1.994	0.965	1.994	0.000	0.072	0.000	0.072	0.000	0.072	5.071	99999.000	5.071	99999.000	5.071	99999.000	0.018116	0.346507	0.308934	0.054370	0.791045	0.128376	0.479167
1.703	0.000	99999.000	0.00000000	1.471	1.967	1.471	1.967	1.471	1.967	0.000	0.005	0.000	0.005	0.000	0.005	17.223	99999.000	17.223	99999.000	17.223	99999.000	1.889	0.000	99999.000	0.00000000	1.682	2.230	1.682	2.230	1.682	2.230	0.000	0.028	0.000	0.028	0.000	0.028	6.490	99999.000	6.490	99999.000	6.490	99999.000	0.022265	0.668433	0.582822	0.205215	0.782609	0.118254	0.472727
2.023	0.000	99999.000	0.00000000	1.557	2.373	1.557	2.373	1.557	2.373	0.000	0.040	0.000	0.040	0.000	0.040	24.820	99999.000	24.820	99999.000	24.820	99999.000	2.355	0.000	99999.000	0.10000000	2.107	2.703	2.107	2.703	2.107	2.703	0.000	0.023	0.000	0.023	0.000	0.023	54.781	99999.000	54.781	99999.000	54.781	99999.000	0.038745	0.692260	0.603145	0.224554	0.835616	0.137252	0.339286
1.252	0.000	99999.000	0.60000000	0.998	1.631	0.998	1.631	0.998	1.631	0.000	0.023	0.000	0.023	0.000	0.023	8.990	99999.000	8.990	99999.000	8.990	99999.000	1.438	0.000	99999.000	1.00000000	1.244	1.625	1.244	1.625	1.244	1.625	0.000	0.002	0.000	0.002	0.000	0.002	39.469	99999.000	39.469	99999.000	39.469	99999.000	0.017889	0.392147	0.284880	0.149999	0.774194	0.134058	0.480000
1.062	0.028	99999.000	0.50000000	0.906	1.201	0.906	1.201	0.906	1.201	0.000	0.007	0.000	0.007	0.000	0.007	3.331	99999.000	3.331	99999.000	3.331	99999.000	0.967	0.134	99999.000	0.50000000	0.617	1.477	0.617	1.477	0.617	1.477	0.000	0.007	0.000	0.007	0.000	0.007	10.562	99999.000	10.562	99999.000	10.562	99999.000	0.012284	0.258152	0.241436	0.022036	0.791045	0.105764	0.500000
1.209	0.000	99999.000	1.00000000	0.857	1.527	0.857	1.527	0.857	1.527	0.000	0.107	0.000	0.107	0.000	0.107	2.740	99999.000	2.740	99999.000	2.740	99999.000	1.383	0.000	15.286	1.00000000	0.322	2.051	0.322	2.051	0.322	2.051	0.000	0.334	0.000	0.334	0.000	0.334	2.173	99999.000	2.173	99999.000	2.173	99999.000	0.011013	0.317273	0.264247	0.072070	0.787879	0.088220	0.452830
1.482	0.091	26.236	0.70000000	1.057	1.986	1.057	1.986	1.057	1.986	0.000	0.098	0.000	0.098	0.000	0.098	3.393	99999.000	3.393	99999.000	3.393	99999.000	1.875	0.000	11.431	0.80000000	1.201	3.055	1.201	3.055	1.201	3.055	0.000	0.188	0.000	0.188	0.000	0.188	9.114	99999.000	9.114	99999.000	9.114	99999.000	0.025464	0.459459	0.381354	0.126252	0.821429	0.140649	0.426230
1.557	0.000	99999.000	0.00000000	1.303	1.719	1.303	1.719	1.303	1.719	0.000	0.141	0.000	0.141	0.000	0.141	36.539	99999.000	36.539	99999.000	36.539	99999.000	1.787	0.002	99999.000	0.00000000	1.662	1.896	1.662	1.896	1.662	1.896	0.000	0.011	0.000	0.011	0.000	0.011	9.977	99999.000	9.977	99999.000	9.977	99999.000	0.027036	0.617939	0.502412	0.232174	0.820896	0.169551	0.568966
1.656	0.000	99999.000	0.10000000	1.156	1.729	1.156	1.729	1.156	1.729	0.000	0.002	0.000	0.002	0.000	0.002	26.617	99999.000	26.617	99999.000	26.617	99999.000	1.875	0.000	99999.000	0.70000000	1.498	2.377	1.498	2.377	1.498	2.377	0.000	0.033	0.000	0.033	0.000	0.033	8.336	99999.000	8.336	99999.000	8.336	99999.000	0.024956	0.576546	0.479149	0.186996	0.794118	0.139929	0.482143
1.711	0.025	36.275	0.40000000	1.094	2.305	1.094	2.305	1.094	2.305	0.000	0.072	0.000	0.072	0.000	0.072	11.334	99999.000	11.334	99999.000	11.334	99999.000	1.977	0.000	12.466	1.00000000	1.182	3.457	1.182	3.457	1.182	3.457	0.000	0.132	0.000	0.132	0.000	0.132	9.864	99999.000	9.864	99999.000	9.864	99999.000	0.018564	0.525738	0.493708	0.063262	0.761905	0.102216	0.377358
1.939	0.004	7.715	0.50000000	1.348	2.662	1.348	2.662	1.348	2.662	0.000	0.014	0.000	0.014	0.000	0.014	2.365	99999.000	2.365	99999.000	2.365	99999.000	2.695	0.016	6.865	0.70000000	0.598	4.992	0.598	4.992	0.598	4.992	0.000	0.162	0.000	0.162	0.000	0.162	3.198	99999.000	3.198	99999.000	3.198	99999.000	0.058232	0.491971	0.372052	0.190971	0.807692	0.251382	0.320755
